"","go","cluster","parent","parentSimScore","score","size","term","parentTerm","female_act_list","female_repress_list","male_act_list","male_repress_list"
"GO:0003205","GO:0003205",4,"GO:0007399",0.571,2,2,"cardiac chamber development","nervous system development",TRUE,FALSE,FALSE,FALSE
"GO:0048592","GO:0048592",4,"GO:0007399",0.391,4,4,"eye morphogenesis","nervous system development",TRUE,FALSE,FALSE,FALSE
"GO:0071396","GO:0071396",6,"GO:0071222",0.578,4,4,"cellular response to lipid","cellular response to lipopolysaccharide",TRUE,FALSE,TRUE,TRUE
"GO:0032502","GO:0032502",4,"GO:0007399",0.43,21,21,"developmental process","nervous system development",TRUE,TRUE,TRUE,TRUE
"GO:0042359","GO:0042359",1,"GO:0006357",0.135,11,11,"vitamin D metabolic process","regulation of transcription by RNA polymerase II",TRUE,TRUE,TRUE,TRUE
"GO:0031669","GO:0031669",5,"GO:0009410",0.173,28,28,"cellular response to nutrient levels","response to xenobiotic stimulus",TRUE,FALSE,FALSE,TRUE
"GO:0003206","GO:0003206",4,"GO:0007399",0.436,0,0,"cardiac chamber morphogenesis","nervous system development",TRUE,FALSE,FALSE,TRUE
"GO:0048562","GO:0048562",4,"GO:0007399",0.445,4,4,"embryonic organ morphogenesis","nervous system development",TRUE,FALSE,TRUE,TRUE
"GO:0002933","GO:0002933",7,"GO:0006629",0.617,7,7,"lipid hydroxylation","lipid metabolic process",TRUE,TRUE,TRUE,TRUE
"GO:0052697","GO:0052697",6,"GO:0071222",0.197,7,7,"xenobiotic glucuronidation","cellular response to lipopolysaccharide",TRUE,TRUE,TRUE,TRUE
"GO:0048856","GO:0048856",4,"GO:0007399",0.563,50,50,"anatomical structure development","nervous system development",TRUE,TRUE,TRUE,TRUE
"GO:0042789","GO:0042789",1,"GO:0006357",0.594,46,46,"mRNA transcription by RNA polymerase II","regulation of transcription by RNA polymerase II",TRUE,TRUE,TRUE,TRUE
"GO:0048863","GO:0048863",2,"GO:0030154",0.837,44,44,"stem cell differentiation","cell differentiation",TRUE,FALSE,TRUE,TRUE
"GO:0048593","GO:0048593",4,"GO:0007399",0.359,18,18,"camera-type eye morphogenesis","nervous system development",TRUE,FALSE,FALSE,FALSE
"GO:1901698","GO:1901698",5,"GO:0009410",0.605,0,0,"response to nitrogen compound","response to xenobiotic stimulus",TRUE,FALSE,TRUE,TRUE
"GO:0030324","GO:0030324",4,"GO:0007399",0.509,83,83,"lung development","nervous system development",TRUE,FALSE,TRUE,TRUE
"GO:0007275","GO:0007275",4,"GO:0007399",0.757,84,84,"multicellular organism development","nervous system development",TRUE,TRUE,TRUE,TRUE
"GO:0031018","GO:0031018",4,"GO:0007399",0.573,17,17,"endocrine pancreas development","nervous system development",TRUE,FALSE,TRUE,TRUE
"GO:0062012","GO:0062012",7,"GO:0006629",0.228,0,0,"regulation of small molecule metabolic process","lipid metabolic process",TRUE,TRUE,TRUE,TRUE
"GO:0009804","GO:0009804",7,"GO:0006629",0.277,10,10,"coumarin metabolic process","lipid metabolic process",TRUE,TRUE,TRUE,TRUE
"GO:0009698","GO:0009698",7,"GO:0006629",0.336,0,0,"phenylpropanoid metabolic process","lipid metabolic process",TRUE,TRUE,TRUE,TRUE
"GO:0030323","GO:0030323",4,"GO:0007399",0.595,4,4,"respiratory tube development","nervous system development",TRUE,FALSE,TRUE,TRUE
"GO:0043401","GO:0043401",6,"GO:0071222",0.339,22,22,"steroid hormone mediated signaling pathway","cellular response to lipopolysaccharide",TRUE,FALSE,TRUE,TRUE
"GO:0008203","GO:0008203",1,"GO:0006357",0.107,89,89,"cholesterol metabolic process","regulation of transcription by RNA polymerase II",TRUE,TRUE,TRUE,FALSE
"GO:0008283","GO:0008283",3,"GO:0008284",0.484,152,152,"cell population proliferation","positive regulation of cell population proliferation",TRUE,FALSE,TRUE,TRUE
"GO:0010243","GO:0010243",6,"GO:0071222",0.211,14,14,"response to organonitrogen compound","cellular response to lipopolysaccharide",TRUE,FALSE,FALSE,TRUE
"GO:0031668","GO:0031668",5,"GO:0009410",0.205,18,18,"cellular response to extracellular stimulus","response to xenobiotic stimulus",TRUE,FALSE,FALSE,TRUE
"GO:0048646","GO:0048646",4,"GO:0007399",0.394,7,7,"anatomical structure formation involved in morphogenesis","nervous system development",TRUE,FALSE,TRUE,TRUE
"GO:0035270","GO:0035270",4,"GO:0007399",0.723,0,0,"endocrine system development","nervous system development",TRUE,FALSE,TRUE,TRUE
"GO:0051122","GO:0051122",7,"GO:0006629",0.374,14,14,"hepoxilin biosynthetic process","lipid metabolic process",TRUE,TRUE,FALSE,FALSE
"GO:0045586","GO:0045586",2,"GO:0030154",0.262,2,2,"regulation of gamma-delta T cell differentiation","cell differentiation",TRUE,FALSE,FALSE,FALSE
"GO:0051121","GO:0051121",7,"GO:0006629",0.513,0,0,"hepoxilin metabolic process","lipid metabolic process",TRUE,TRUE,FALSE,FALSE
"GO:0035904","GO:0035904",4,"GO:0007399",0.507,24,24,"aorta development","nervous system development",TRUE,FALSE,FALSE,FALSE
"GO:0007517","GO:0007517",4,"GO:0007399",0.583,98,98,"muscle organ development","nervous system development",TRUE,FALSE,TRUE,TRUE
"GO:0046643","GO:0046643",10,"GO:0042110",0.545,0,0,"regulation of gamma-delta T cell activation","T cell activation",TRUE,FALSE,FALSE,FALSE
"GO:0016125","GO:0016125",1,"GO:0006357",0.147,22,22,"sterol metabolic process","regulation of transcription by RNA polymerase II",TRUE,TRUE,TRUE,FALSE
"GO:0007623","GO:0007623",5,"GO:0009410",0.176,63,63,"circadian rhythm","response to xenobiotic stimulus",TRUE,FALSE,TRUE,FALSE
"GO:0051150","GO:0051150",2,"GO:0030154",0.457,5,5,"regulation of smooth muscle cell differentiation","cell differentiation",TRUE,FALSE,TRUE,FALSE
"GO:0003002","GO:0003002",4,"GO:0007399",0.529,0,0,"regionalization","nervous system development",TRUE,FALSE,TRUE,TRUE
"GO:2000756","GO:2000756",1,"GO:0006357",0.249,0,0,"regulation of peptidyl-lysine acetylation","regulation of transcription by RNA polymerase II",TRUE,FALSE,FALSE,FALSE
"GO:0045165","GO:0045165",2,"GO:0030154",0.852,56,56,"cell fate commitment","cell differentiation",TRUE,TRUE,TRUE,TRUE
"GO:0001568","GO:0001568",4,"GO:0007399",0.62,44,44,"blood vessel development","nervous system development",TRUE,FALSE,TRUE,TRUE
"GO:0090596","GO:0090596",4,"GO:0007399",0.494,0,0,"sensory organ morphogenesis","nervous system development",TRUE,FALSE,FALSE,FALSE
"GO:0050793","GO:0050793",3,"GO:0008284",0.294,7,7,"regulation of developmental process","positive regulation of cell population proliferation",TRUE,TRUE,TRUE,TRUE
"GO:0003279","GO:0003279",4,"GO:0007399",0.546,9,9,"cardiac septum development","nervous system development",TRUE,FALSE,FALSE,FALSE
"GO:0048384","GO:0048384",3,"GO:0008284",0.315,21,21,"retinoic acid receptor signaling pathway","positive regulation of cell population proliferation",TRUE,FALSE,TRUE,FALSE
"GO:0006766","GO:0006766",7,"GO:0006629",0.289,6,6,"vitamin metabolic process","lipid metabolic process",TRUE,TRUE,FALSE,FALSE
"GO:0009952","GO:0009952",4,"GO:0007399",0.454,92,92,"anterior/posterior pattern specification","nervous system development",TRUE,FALSE,TRUE,TRUE
"GO:0035909","GO:0035909",4,"GO:0007399",0.376,15,15,"aorta morphogenesis","nervous system development",TRUE,FALSE,FALSE,FALSE
"GO:0007521","GO:0007521",2,"GO:0030154",0.547,2,2,"muscle cell fate determination","cell differentiation",TRUE,FALSE,FALSE,FALSE
"GO:0008050","GO:0008050",9,"GO:0007565",0.387,2,2,"female courtship behavior","female pregnancy",TRUE,FALSE,FALSE,FALSE
"GO:2000628","GO:2000628",1,"GO:0006357",0.516,3,3,"regulation of miRNA metabolic process","regulation of transcription by RNA polymerase II",FALSE,TRUE,TRUE,TRUE
"GO:0051552","GO:0051552",7,"GO:0006629",0.411,5,5,"flavone metabolic process","lipid metabolic process",FALSE,TRUE,TRUE,TRUE
"GO:0010586","GO:0010586",7,"GO:0006629",0.356,13,13,"miRNA metabolic process","lipid metabolic process",FALSE,TRUE,TRUE,TRUE
"GO:1902893","GO:1902893",1,"GO:0006357",0.925,1,1,"regulation of miRNA transcription","regulation of transcription by RNA polymerase II",FALSE,TRUE,TRUE,TRUE
"GO:0061614","GO:0061614",1,"GO:0006357",0.619,1,1,"miRNA transcription","regulation of transcription by RNA polymerase II",FALSE,TRUE,TRUE,TRUE
"GO:0052696","GO:0052696",7,"GO:0006629",0.314,5,5,"flavonoid glucuronidation","lipid metabolic process",FALSE,TRUE,TRUE,TRUE
"GO:0009812","GO:0009812",7,"GO:0006629",0.532,7,7,"flavonoid metabolic process","lipid metabolic process",FALSE,TRUE,TRUE,TRUE
"GO:0042537","GO:0042537",7,"GO:0006629",0.346,1,1,"benzene-containing compound metabolic process","lipid metabolic process",FALSE,TRUE,TRUE,TRUE
"GO:0001889","GO:0001889",4,"GO:0007399",0.532,76,76,"liver development","nervous system development",FALSE,TRUE,TRUE,TRUE
"GO:0061008","GO:0061008",4,"GO:0007399",0.723,0,0,"hepaticobiliary system development","nervous system development",FALSE,TRUE,TRUE,TRUE
"GO:0051094","GO:0051094",3,"GO:0008284",0.347,2,2,"positive regulation of developmental process","positive regulation of cell population proliferation",FALSE,TRUE,TRUE,TRUE
"GO:0030099","GO:0030099",2,"GO:0030154",0.57,23,23,"myeloid cell differentiation","cell differentiation",FALSE,TRUE,TRUE,TRUE
"GO:2000630","GO:2000630",1,"GO:0006357",0.415,3,3,"positive regulation of miRNA metabolic process","regulation of transcription by RNA polymerase II",FALSE,TRUE,TRUE,TRUE
"GO:0045597","GO:0045597",2,"GO:0030154",0.518,55,55,"positive regulation of cell differentiation","cell differentiation",FALSE,TRUE,TRUE,TRUE
"GO:0002521","GO:0002521",2,"GO:0030154",0.57,3,3,"leukocyte differentiation","cell differentiation",FALSE,TRUE,TRUE,TRUE
"GO:0019216","GO:0019216",7,"GO:0006629",0.665,42,42,"regulation of lipid metabolic process","lipid metabolic process",FALSE,TRUE,TRUE,TRUE
"GO:1903131","GO:1903131",2,"GO:0030154",0.548,3,3,"mononuclear cell differentiation","cell differentiation",FALSE,TRUE,TRUE,TRUE
"GO:0062014","GO:0062014",7,"GO:0006629",0.191,0,0,"negative regulation of small molecule metabolic process","lipid metabolic process",FALSE,TRUE,TRUE,TRUE
"GO:0030098","GO:0030098",2,"GO:0030154",0.442,5,5,"lymphocyte differentiation","cell differentiation",FALSE,TRUE,TRUE,TRUE
"GO:2001030","GO:2001030",7,"GO:0006629",0.19,0,0,"negative regulation of cellular glucuronidation","lipid metabolic process",FALSE,TRUE,TRUE,TRUE
"GO:1904224","GO:1904224",8,"GO:0042593",0.075,0,0,"negative regulation of glucuronosyltransferase activity","glucose homeostasis",FALSE,TRUE,TRUE,TRUE
"GO:1904223","GO:1904223",8,"GO:0042593",0.116,0,0,"regulation of glucuronosyltransferase activity","glucose homeostasis",FALSE,TRUE,TRUE,TRUE
"GO:0051240","GO:0051240",3,"GO:0008284",0.347,0,0,"positive regulation of multicellular organismal process","positive regulation of cell population proliferation",FALSE,TRUE,TRUE,TRUE
"GO:0097028","GO:0097028",2,"GO:0030154",0.53,16,16,"dendritic cell differentiation","cell differentiation",FALSE,TRUE,FALSE,TRUE
"GO:0030097","GO:0030097",2,"GO:0030154",0.172,64,64,"hemopoiesis","cell differentiation",FALSE,TRUE,TRUE,TRUE
"GO:0042180","GO:0042180",7,"GO:0006629",0.4,3,3,"cellular ketone metabolic process","lipid metabolic process",FALSE,TRUE,TRUE,TRUE
"GO:1902895","GO:1902895",1,"GO:0006357",0.783,56,56,"positive regulation of miRNA transcription","regulation of transcription by RNA polymerase II",FALSE,TRUE,TRUE,TRUE
"GO:2001029","GO:2001029",7,"GO:0006629",0.232,0,0,"regulation of cellular glucuronidation","lipid metabolic process",FALSE,TRUE,TRUE,TRUE
"GO:0010565","GO:0010565",7,"GO:0006629",0.253,4,4,"regulation of cellular ketone metabolic process","lipid metabolic process",FALSE,TRUE,TRUE,TRUE
"GO:0019217","GO:0019217",7,"GO:0006629",0.353,7,7,"regulation of fatty acid metabolic process","lipid metabolic process",FALSE,TRUE,FALSE,TRUE
"GO:0050673","GO:0050673",3,"GO:0008284",0.382,49,49,"epithelial cell proliferation","positive regulation of cell population proliferation",FALSE,TRUE,TRUE,TRUE
"GO:0045922","GO:0045922",7,"GO:0006629",0.283,4,4,"negative regulation of fatty acid metabolic process","lipid metabolic process",FALSE,TRUE,TRUE,TRUE
"GO:0070458","GO:0070458",6,"GO:0071222",0.234,5,5,"cellular detoxification of nitrogen compound","cellular response to lipopolysaccharide",FALSE,TRUE,TRUE,TRUE
"GO:0051410","GO:0051410",5,"GO:0009410",0.423,2,2,"detoxification of nitrogen compound","response to xenobiotic stimulus",FALSE,TRUE,TRUE,TRUE
"GO:0045833","GO:0045833",7,"GO:0006629",0.563,5,5,"negative regulation of lipid metabolic process","lipid metabolic process",FALSE,TRUE,TRUE,TRUE
"GO:0010628","GO:0010628",1,"GO:0006357",0.34,549,549,"positive regulation of gene expression","regulation of transcription by RNA polymerase II",FALSE,TRUE,TRUE,TRUE
"GO:0045600","GO:0045600",2,"GO:0030154",0.443,58,58,"positive regulation of fat cell differentiation","cell differentiation",FALSE,TRUE,TRUE,TRUE
"GO:0001890","GO:0001890",4,"GO:0007399",0.489,36,36,"placenta development","nervous system development",FALSE,TRUE,FALSE,TRUE
"GO:0008610","GO:0008610",1,"GO:0006357",0.215,20,20,"lipid biosynthetic process","regulation of transcription by RNA polymerase II",FALSE,TRUE,TRUE,FALSE
"GO:0007584","GO:0007584",5,"GO:0009410",0.465,56,56,"response to nutrient","response to xenobiotic stimulus",FALSE,TRUE,FALSE,FALSE
"GO:1903706","GO:1903706",2,"GO:0030154",0.13,11,11,"regulation of hemopoiesis","cell differentiation",FALSE,TRUE,TRUE,TRUE
"GO:0043011","GO:0043011",2,"GO:0030154",0.364,19,19,"myeloid dendritic cell differentiation","cell differentiation",FALSE,TRUE,FALSE,TRUE
"GO:0043651","GO:0043651",7,"GO:0006629",0.471,25,25,"linoleic acid metabolic process","lipid metabolic process",FALSE,TRUE,FALSE,FALSE
"GO:0043009","GO:0043009",4,"GO:0007399",0.441,5,5,"chordate embryonic development","nervous system development",FALSE,TRUE,TRUE,TRUE
"GO:0006775","GO:0006775",7,"GO:0006629",0.236,0,0,"fat-soluble vitamin metabolic process","lipid metabolic process",FALSE,TRUE,FALSE,TRUE
"GO:0009991","GO:0009991",5,"GO:0009410",0.329,4,4,"response to extracellular stimulus","response to xenobiotic stimulus",FALSE,TRUE,TRUE,TRUE
"GO:0042440","GO:0042440",7,"GO:0006629",0.373,0,0,"pigment metabolic process","lipid metabolic process",FALSE,TRUE,TRUE,FALSE
"GO:0045444","GO:0045444",2,"GO:0030154",0.837,76,76,"fat cell differentiation","cell differentiation",FALSE,TRUE,TRUE,TRUE
"GO:0030217","GO:0030217",2,"GO:0030154",0.416,42,42,"T cell differentiation","cell differentiation",FALSE,TRUE,TRUE,TRUE
"GO:0030218","GO:0030218",2,"GO:0030154",0.435,59,59,"erythrocyte differentiation","cell differentiation",FALSE,TRUE,TRUE,TRUE
"GO:0009792","GO:0009792",4,"GO:0007399",0.512,23,23,"embryo development ending in birth or egg hatching","nervous system development",FALSE,TRUE,TRUE,TRUE
"GO:0045912","GO:0045912",7,"GO:0006629",0.397,0,0,"negative regulation of carbohydrate metabolic process","lipid metabolic process",FALSE,TRUE,FALSE,FALSE
"GO:0045598","GO:0045598",2,"GO:0030154",0.547,15,15,"regulation of fat cell differentiation","cell differentiation",FALSE,TRUE,TRUE,TRUE
"GO:1902105","GO:1902105",2,"GO:0030154",0.356,0,0,"regulation of leukocyte differentiation","cell differentiation",FALSE,TRUE,TRUE,TRUE
"GO:0034101","GO:0034101",8,"GO:0042593",0.287,10,10,"erythrocyte homeostasis","glucose homeostasis",FALSE,TRUE,TRUE,TRUE
"GO:0045939","GO:0045939",7,"GO:0006629",0.454,3,3,"negative regulation of steroid metabolic process","lipid metabolic process",FALSE,TRUE,TRUE,TRUE
"GO:0019218","GO:0019218",7,"GO:0006629",0.538,4,4,"regulation of steroid metabolic process","lipid metabolic process",FALSE,TRUE,TRUE,TRUE
"GO:0031667","GO:0031667",5,"GO:0009410",0.267,45,45,"response to nutrient levels","response to xenobiotic stimulus",FALSE,TRUE,TRUE,TRUE
"GO:0014070","GO:0014070",6,"GO:0071222",0.223,52,52,"response to organic cyclic compound","cellular response to lipopolysaccharide",FALSE,TRUE,TRUE,TRUE
"GO:0001701","GO:0001701",4,"GO:0007399",0.391,203,203,"in utero embryonic development","nervous system development",FALSE,TRUE,TRUE,TRUE
"GO:0060056","GO:0060056",4,"GO:0007399",0.423,7,7,"mammary gland involution","nervous system development",FALSE,TRUE,FALSE,FALSE
"GO:0042368","GO:0042368",1,"GO:0006357",0.215,0,0,"vitamin D biosynthetic process","regulation of transcription by RNA polymerase II",FALSE,TRUE,FALSE,FALSE
"GO:0030258","GO:0030258",7,"GO:0006629",0.663,7,7,"lipid modification","lipid metabolic process",FALSE,TRUE,FALSE,FALSE
"GO:0046649","GO:0046649",10,"GO:0042110",0.851,1,1,"lymphocyte activation","T cell activation",FALSE,TRUE,TRUE,TRUE
"GO:0001773","GO:0001773",10,"GO:0042110",0.493,2,2,"myeloid dendritic cell activation","T cell activation",FALSE,TRUE,FALSE,FALSE
"GO:0030856","GO:0030856",2,"GO:0030154",0.4,7,7,"regulation of epithelial cell differentiation","cell differentiation",FALSE,TRUE,FALSE,TRUE
"GO:0010467","GO:0010467",1,"GO:0006357",0.251,83,83,"gene expression","regulation of transcription by RNA polymerase II",FALSE,FALSE,TRUE,TRUE
"GO:0006807","GO:0006807",7,"GO:0006629",0.373,7,7,"nitrogen compound metabolic process","lipid metabolic process",FALSE,FALSE,TRUE,TRUE
"GO:0050794","GO:0050794",3,"GO:0008284",0.596,0,0,"regulation of cellular process","positive regulation of cell population proliferation",FALSE,FALSE,TRUE,TRUE
"GO:0048468","GO:0048468",2,"GO:0030154",0.772,26,26,"cell development","cell differentiation",FALSE,FALSE,TRUE,TRUE
"GO:0009653","GO:0009653",4,"GO:0007399",0.456,136,136,"anatomical structure morphogenesis","nervous system development",FALSE,FALSE,TRUE,TRUE
"GO:0050789","GO:0050789",3,"GO:0008284",0.421,0,0,"regulation of biological process","positive regulation of cell population proliferation",FALSE,FALSE,TRUE,TRUE
"GO:0032501","GO:0032501",5,"GO:0009410",0.246,0,0,"multicellular organismal process","response to xenobiotic stimulus",FALSE,FALSE,TRUE,TRUE
"GO:0071407","GO:0071407",6,"GO:0071222",0.383,42,42,"cellular response to organic cyclic compound","cellular response to lipopolysaccharide",FALSE,FALSE,TRUE,TRUE
"GO:0022612","GO:0022612",4,"GO:0007399",0.494,7,7,"gland morphogenesis","nervous system development",FALSE,FALSE,TRUE,TRUE
"GO:0061448","GO:0061448",4,"GO:0007399",0.336,2,2,"connective tissue development","nervous system development",FALSE,FALSE,TRUE,TRUE
"GO:0051241","GO:0051241",3,"GO:0008284",0.227,0,0,"negative regulation of multicellular organismal process","positive regulation of cell population proliferation",FALSE,FALSE,TRUE,TRUE
"GO:0060509","GO:0060509",4,"GO:0007399",0.337,8,8,"type I pneumocyte differentiation","nervous system development",FALSE,FALSE,TRUE,FALSE
"GO:0002065","GO:0002065",2,"GO:0030154",0.619,0,0,"columnar/cuboidal epithelial cell differentiation","cell differentiation",FALSE,FALSE,TRUE,TRUE
"GO:0002067","GO:0002067",2,"GO:0030154",0.58,7,7,"glandular epithelial cell differentiation","cell differentiation",FALSE,FALSE,TRUE,TRUE
"GO:0048511","GO:0048511",5,"GO:0009410",0.246,67,67,"rhythmic process","response to xenobiotic stimulus",FALSE,FALSE,TRUE,TRUE
"GO:0140467","GO:0140467",6,"GO:0071222",0.176,25,25,"integrated stress response signaling","cellular response to lipopolysaccharide",FALSE,FALSE,TRUE,TRUE
"GO:0009987","GO:0009987",3,"GO:0008284",0.352,0,0,"cellular process","positive regulation of cell population proliferation",FALSE,FALSE,TRUE,TRUE
"GO:0002064","GO:0002064",2,"GO:0030154",0.57,12,12,"epithelial cell development","cell differentiation",FALSE,FALSE,TRUE,TRUE
"GO:0031016","GO:0031016",4,"GO:0007399",0.638,25,25,"pancreas development","nervous system development",FALSE,FALSE,TRUE,TRUE
"GO:0048545","GO:0048545",6,"GO:0071222",0.245,16,16,"response to steroid hormone","cellular response to lipopolysaccharide",FALSE,FALSE,TRUE,TRUE
"GO:0033554","GO:0033554",6,"GO:0071222",0.218,11,11,"cellular response to stress","cellular response to lipopolysaccharide",FALSE,FALSE,TRUE,TRUE
"GO:0007399","GO:0007399",4,"GO:0007399",1,376,376,"nervous system development","nervous system development",FALSE,FALSE,TRUE,TRUE
"GO:0071383","GO:0071383",6,"GO:0071222",0.394,16,16,"cellular response to steroid hormone stimulus","cellular response to lipopolysaccharide",FALSE,FALSE,TRUE,TRUE
"GO:0060537","GO:0060537",4,"GO:0007399",0.336,5,5,"muscle tissue development","nervous system development",FALSE,FALSE,TRUE,TRUE
"GO:0061138","GO:0061138",4,"GO:0007399",0.314,4,4,"morphogenesis of a branching epithelium","nervous system development",FALSE,FALSE,TRUE,TRUE
"GO:0043170","GO:0043170",1,"GO:0006357",0.216,1,1,"macromolecule metabolic process","regulation of transcription by RNA polymerase II",FALSE,FALSE,TRUE,TRUE
"GO:1901652","GO:1901652",6,"GO:0071222",0.264,2,2,"response to peptide","cellular response to lipopolysaccharide",FALSE,FALSE,TRUE,FALSE
"GO:0060562","GO:0060562",4,"GO:0007399",0.348,1,1,"epithelial tube morphogenesis","nervous system development",FALSE,FALSE,TRUE,TRUE
"GO:0008285","GO:0008285",3,"GO:0008284",0.602,453,453,"negative regulation of cell population proliferation","positive regulation of cell population proliferation",FALSE,FALSE,TRUE,TRUE
"GO:0034097","GO:0034097",6,"GO:0071222",0.223,46,46,"response to cytokine","cellular response to lipopolysaccharide",FALSE,FALSE,TRUE,TRUE
"GO:0001763","GO:0001763",4,"GO:0007399",0.48,9,9,"morphogenesis of a branching structure","nervous system development",FALSE,FALSE,TRUE,FALSE
"GO:0060487","GO:0060487",4,"GO:0007399",0.327,8,8,"lung epithelial cell differentiation","nervous system development",FALSE,FALSE,TRUE,FALSE
"GO:0060479","GO:0060479",4,"GO:0007399",0.415,0,0,"lung cell differentiation","nervous system development",FALSE,FALSE,TRUE,FALSE
"GO:0001708","GO:0001708",2,"GO:0030154",0.765,33,33,"cell fate specification","cell differentiation",FALSE,FALSE,TRUE,FALSE
"GO:0042593","GO:0042593",8,"GO:0042593",1,112,112,"glucose homeostasis","glucose homeostasis",FALSE,FALSE,TRUE,TRUE
"GO:0033500","GO:0033500",8,"GO:0042593",0.833,2,2,"carbohydrate homeostasis","glucose homeostasis",FALSE,FALSE,TRUE,TRUE
"GO:0042110","GO:0042110",10,"GO:0042110",1,56,56,"T cell activation","T cell activation",FALSE,FALSE,TRUE,TRUE
"GO:0098727","GO:0098727",4,"GO:0007399",0.306,1,1,"maintenance of cell number","nervous system development",FALSE,FALSE,TRUE,TRUE
"GO:0007423","GO:0007423",4,"GO:0007399",0.638,6,6,"sensory organ development","nervous system development",FALSE,FALSE,TRUE,TRUE
"GO:1902107","GO:1902107",2,"GO:0030154",0.289,0,0,"positive regulation of leukocyte differentiation","cell differentiation",FALSE,FALSE,TRUE,TRUE
"GO:1903708","GO:1903708",2,"GO:0030154",0.116,0,0,"positive regulation of hemopoiesis","cell differentiation",FALSE,FALSE,TRUE,TRUE
"GO:0042592","GO:0042592",8,"GO:0042593",0.608,11,11,"homeostatic process","glucose homeostasis",FALSE,FALSE,TRUE,TRUE
"GO:0050678","GO:0050678",3,"GO:0008284",0.613,18,18,"regulation of epithelial cell proliferation","positive regulation of cell population proliferation",FALSE,FALSE,TRUE,TRUE
"GO:0050810","GO:0050810",1,"GO:0006357",0.279,10,10,"regulation of steroid biosynthetic process","regulation of transcription by RNA polymerase II",FALSE,FALSE,TRUE,FALSE
"GO:0070848","GO:0070848",6,"GO:0071222",0.223,15,15,"response to growth factor","cellular response to lipopolysaccharide",FALSE,FALSE,TRUE,TRUE
"GO:0002287","GO:0002287",10,"GO:0042110",0.56,0,0,"alpha-beta T cell activation involved in immune response","T cell activation",FALSE,FALSE,TRUE,TRUE
"GO:0002293","GO:0002293",2,"GO:0030154",0.306,0,0,"alpha-beta T cell differentiation involved in immune response","cell differentiation",FALSE,FALSE,TRUE,TRUE
"GO:0043434","GO:0043434",6,"GO:0071222",0.222,47,47,"response to peptide hormone","cellular response to lipopolysaccharide",FALSE,FALSE,TRUE,TRUE
"GO:0061351","GO:0061351",3,"GO:0008284",0.382,21,21,"neural precursor cell proliferation","positive regulation of cell population proliferation",FALSE,FALSE,TRUE,FALSE
"GO:0048754","GO:0048754",4,"GO:0007399",0.314,23,23,"branching morphogenesis of an epithelial tube","nervous system development",FALSE,FALSE,TRUE,TRUE
"GO:0001775","GO:0001775",10,"GO:0042110",0.543,13,13,"cell activation","T cell activation",FALSE,FALSE,TRUE,TRUE
"GO:0071345","GO:0071345",6,"GO:0071222",0.383,33,33,"cellular response to cytokine stimulus","cellular response to lipopolysaccharide",FALSE,FALSE,TRUE,TRUE
"GO:0002009","GO:0002009",4,"GO:0007399",0.253,21,21,"morphogenesis of an epithelium","nervous system development",FALSE,FALSE,TRUE,TRUE
"GO:0006338","GO:0006338",3,"GO:0008284",0.134,227,227,"chromatin remodeling","positive regulation of cell population proliferation",FALSE,FALSE,TRUE,FALSE
"GO:0006950","GO:0006950",5,"GO:0009410",0.428,0,0,"response to stress","response to xenobiotic stimulus",FALSE,FALSE,TRUE,TRUE
"GO:0032330","GO:0032330",4,"GO:0007399",0.311,12,12,"regulation of chondrocyte differentiation","nervous system development",FALSE,FALSE,TRUE,FALSE
"GO:0048048","GO:0048048",4,"GO:0007399",0.333,11,11,"embryonic eye morphogenesis","nervous system development",FALSE,FALSE,TRUE,FALSE
"GO:0048729","GO:0048729",4,"GO:0007399",0.327,3,3,"tissue morphogenesis","nervous system development",FALSE,FALSE,TRUE,TRUE
"GO:0008284","GO:0008284",3,"GO:0008284",1,584,584,"positive regulation of cell population proliferation","positive regulation of cell population proliferation",FALSE,FALSE,TRUE,TRUE
"GO:0045321","GO:0045321",10,"GO:0042110",0.748,5,5,"leukocyte activation","T cell activation",FALSE,FALSE,TRUE,TRUE
"GO:0001654","GO:0001654",4,"GO:0007399",0.484,46,46,"eye development","nervous system development",FALSE,FALSE,TRUE,TRUE
"GO:0002292","GO:0002292",2,"GO:0030154",0.34,3,3,"T cell differentiation involved in immune response","cell differentiation",FALSE,FALSE,TRUE,TRUE
"GO:2000142","GO:2000142",1,"GO:0006357",0.873,2,2,"regulation of DNA-templated transcription initiation","regulation of transcription by RNA polymerase II",FALSE,FALSE,TRUE,TRUE
"GO:0031076","GO:0031076",4,"GO:0007399",0.425,12,12,"embryonic camera-type eye development","nervous system development",FALSE,FALSE,TRUE,FALSE
"GO:0150063","GO:0150063",4,"GO:0007399",0.621,1,1,"visual system development","nervous system development",FALSE,FALSE,TRUE,TRUE
"GO:0002262","GO:0002262",8,"GO:0042593",0.346,10,10,"myeloid cell homeostasis","glucose homeostasis",FALSE,FALSE,TRUE,TRUE
"GO:1902894","GO:1902894",1,"GO:0006357",0.761,19,19,"negative regulation of miRNA transcription","regulation of transcription by RNA polymerase II",FALSE,FALSE,TRUE,TRUE
"GO:0048880","GO:0048880",4,"GO:0007399",0.723,3,3,"sensory system development","nervous system development",FALSE,FALSE,TRUE,TRUE
"GO:0034284","GO:0034284",6,"GO:0071222",0.245,1,1,"response to monosaccharide","cellular response to lipopolysaccharide",FALSE,FALSE,TRUE,FALSE
